Hostname,Host groups,MAC address,OS version,Manufacturer,Last seen,Asset management,Sensor ID,Tags,Site name,Platform,Site Name,Device Hostname,Device Description,Software,Version
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),WIN32 CAL Client,3.1.4.155
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Sentinel Agent,24.1.257
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30135,14.29.30135.0
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.29.30139,14.29.30139.0
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005,12.0.21005.1
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,9.0.30729
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Microsoft POS for .NET 1.14.1,1.14.1708.8001
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Intel(R) Wireless Bluetooth(R),21.40.1.1
laxknpr7-006,eb1b27a9dd534c939ff995bb7d1b6383,00-A0-A4-2C-4F-DD,Windows 10,"Oracle America, Inc",2026-03-05T22:03:26Z,Managed,98e188acb2264abfbf27f6ca2f3a6ce5,hollywood grande,,Windows,hollywood grande,laxknpr7-006,Terrace (Bar Station Right),Intel(R) Serial IO,30.100.1915.1
