Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
EXECASSISTANT,9fb54a737d7c43c2a8df001c4c6e5282,2026:03:19T18:46:32Z,2026:02:18T22:04:59Z,Windows,Windows 11,Workstation,192.168.7.82,174.76.115.194,a4:bb:6d:a8:fc:59,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,eg.adadmin,"Nexplay : Phase 1 Detect
21 Feb 26 00:37 UTC","platform_default
04 Mar 26 00:27 UTC","platform_default
18 Feb 26 22:14 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
21 Feb 26 00:28 UTC"
FDMANAGER,f3da1e9c42da4c1e8e9dc0439d2ef034,2026:03:19T19:07:44Z,2026:02:18T19:06:05Z,Windows,Windows 11,Workstation,192.168.7.99,159.100.175.51,a4:bb:6d:a9:39:2b,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,wrowan,"Nexplay : Phase 1 Detect
19 Feb 26 14:39 UTC","platform_default
27 Feb 26 17:59 UTC","platform_default
18 Feb 26 19:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:11 UTC"
MICROS:SVR,b93f5b2bec81457cad8757d1d2364112,2026:03:03T18:24:12Z,2026:02:18T19:07:06Z,Windows,Windows Server 2012 R2,Server,10.0.110.10,68.111.46.179,20:67:7c:d8:73:0d,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,manager,"Nexplay : Phase 1 Detect
19 Feb 26 14:43 UTC","platform_default
27 Feb 26 18:09 UTC","platform_default
18 Feb 26 19:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:12 UTC"
OWS24305NR2CWHE,669885f9a36b448ba81ed88b0a424fe6,2026:03:19T18:44:41Z,2026:02:18T19:06:47Z,Windows,Windows 10,Workstation,192.168.51.1,68.111.46.179,74:56:3c:ba:97:c8,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,NVRAdmin,"Nexplay : Phase 1 Detect
19 Feb 26 14:38 UTC","platform_default
27 Feb 26 18:05 UTC","platform_default
18 Feb 26 19:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:11 UTC"
SPA:RECEP,d712f44628f949dbb30e70e0001a377f,2026:03:19T18:48:05Z,2026:02:18T19:06:10Z,Windows,Windows 11,Workstation,192.168.7.74,174.76.115.194,f0:1d:bc:a5:81:67,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,salonandspa,"Nexplay : Phase 1 Detect
19 Feb 26 14:38 UTC","platform_default
27 Feb 26 17:59 UTC","platform_default
18 Feb 26 19:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:12 UTC"
SYR:B4TCCGW,e0ff5baa0c38407899fb14a3be9a8f6b,2026:03:19T19:12:31Z,2026:02:18T19:07:48Z,Windows,Windows 10,Workstation,192.168.7.203,159.100.175.51,00:0c:29:ed:ad:38,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,syr.ncentralprobe,"Nexplay : Phase 1 Detect
19 Feb 26 14:44 UTC","platform_default
27 Feb 26 18:29 UTC","platform_default
18 Feb 26 19:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:10 UTC"
SYR:B4TFIAS,5d70a67d801d47d6ace00d80b8184cc6,2026:03:19T19:01:22Z,2026:02:18T19:05:16Z,Windows,Windows Server 2016,Server,192.168.7.204,159.100.175.51,00:0c:29:0a:7d:00,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,syr.ncentralprobe,"Nexplay : Phase 1 Detect
19 Feb 26 14:43 UTC","platform_default
27 Feb 26 17:58 UTC","platform_default
18 Feb 26 19:08 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:09 UTC"
SYR:CALLACCT,9f8c0915062a4d639d73f45a0294d106,2026:03:19T19:07:22Z,2026:02:18T19:07:29Z,Windows,Windows Server 2016,Server,192.168.7.22,159.100.175.51,00:0c:29:cb:28:90,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,phone,"Nexplay : Phase 1 Detect
19 Feb 26 14:40 UTC","platform_default
27 Feb 26 18:04 UTC","platform_default
18 Feb 26 19:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:19 UTC"
SYR:DATA,de6aeab1366243c5a94d311bcbf63d4d,2026:03:19T19:11:10Z,2026:02:18T19:06:01Z,Windows,Windows Server 2016,Server,192.168.7.12,159.100.175.51,00:0c:29:06:66:2e,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,syr.fnbscansvc,"Nexplay : Phase 1 Detect
19 Feb 26 14:40 UTC","platform_default
27 Feb 26 17:59 UTC","platform_default
18 Feb 26 19:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:11 UTC"
SYR:DC,543cc16f15164eaab5fbf5461a487d48,2026:03:19T19:03:24Z,2026:02:18T19:07:42Z,Windows,Windows Server 2016,Domain Controller,192.168.7.25,159.100.175.51,50:9a:4c:a2:09:51,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,syr.ncentralprobe,"Nexplay : Phase 1 Detect
19 Feb 26 14:38 UTC","platform_default
27 Feb 26 18:09 UTC","platform_default
18 Feb 26 19:13 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:15 UTC"
