Hostname,Host groups,MAC address,OS version,Manufacturer,Last seen,Asset management,Sensor ID,Tags,Site name,Platform
221116ELSAPC,c3c1fb151d2c4ecca3286b9b5fcfefb1,58-11-22-8E-E5-6C,Windows 11,MicroElectronics,2026-03-05T21:47:45Z,Managed,1226317316c54b1f814be4569966df2f,SensorGroupingTags/Diversity_HS_Los_Angeles,,Windows
40THPLPRGMMANAG,10c0622558ca49bebc46a6781db56618,"10-E7-C6-10-5A-9C, 5C-EA-1D-B8-17-7D",Windows 11,HP,2026-03-05T21:50:37Z,Managed,fc98d98c0b984383af913e7ef3775f8e,SensorGroupingTags/First_to_Serve_40th,,Windows
ACAD002,96d991069fab4912a2a8e92f7feac030,D4-A2-CD-8E-BC-E6,Windows 11,Dell Inc.,2026-03-05T21:38:38Z,Managed,08c35372fb9e4cfbab6d2294b018bb46,SensorGroupingTags/Autocamp_Asheville,,Windows
ACAD003,96d991069fab4912a2a8e92f7feac030,D4-A2-CD-8E-BE-4B,Windows 11,Dell Inc.,2026-03-05T22:01:15Z,Managed,85f7605be71743589f20b196dd9a7028,SensorGroupingTags/Autocamp_Asheville,,Windows
ACAFD1,96d991069fab4912a2a8e92f7feac030,BC-EC-A0-01-25-39,Windows 11,LENOVO,2026-03-05T21:58:16Z,Managed,7e15ad82123b4b89908a25826d5101a1,SensorGroupingTags/Autocamp_Asheville,,Windows
ACAL003,96d991069fab4912a2a8e92f7feac030,28-2E-89-D8-89-0F,Windows 11,HP,2026-03-05T16:12:15Z,Managed,25d8dd4c30d54a1c994611f804d68dd8,SensorGroupingTags/Autocamp_Asheville,,Windows
ACAL02,96d991069fab4912a2a8e92f7feac030,FC-B0-DE-7D-0D-AD,Windows 11,LENOVO,2026-03-05T21:03:44Z,Managed,e6ce794f271b4871a64820e026aa7720,SensorGroupingTags/Autocamp_Asheville,,Windows
ACAL05,96d991069fab4912a2a8e92f7feac030,"FE-B0-DE-7D-8A-6D, FC-B0-DE-7D-BA-5D",Windows 11,LENOVO,2026-03-05T21:31:22Z,Managed,f6b67cda27ab4ef6949dfa42407fbe1e,SensorGroupingTags/Autocamp_Asheville,,Windows
ACBCHR01,9b96afa1c3ef4d28b9d03070fbc7f610,70-CD-0D-F1-D4-FC,Windows 11,LENOVO,2026-03-05T20:56:03Z,Managed,660c4da565d14d5da2a23dfbb397bae9,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBCL04,9b96afa1c3ef4d28b9d03070fbc7f610,7C-FA-80-F1-B9-0A,Windows 11,LENOVO,2026-03-05T16:31:23Z,Managed,78f7310fa0004d58ac4f5d510d06d420,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBCL05,9b96afa1c3ef4d28b9d03070fbc7f610,7C-FA-80-AC-E3-43,Windows 11,LENOVO,2026-03-05T21:48:34Z,Managed,2b775f99e485485899ac2ce89da0e75e,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBCLE04,ba8180fb2a0348058fbfd571e6c3f84e,38-7A-0E-2E-2B-83,Windows 11,LENOVO,2026-03-05T21:42:28Z,Managed,e1262dc166db4f0fb0bb2f914d0c75bb,SensorGroupingTags/Autocamp_Yosemite,,Windows
ACBCRES10,9b96afa1c3ef4d28b9d03070fbc7f610,F4-7B-09-C0-A1-DE,Windows 11,LENOVO,2026-03-05T21:51:03Z,Managed,f64715042dfe49d38073cf6fdcc1bb62,SensorGroupingTags/Autocamp_Basecamp,,Windows
ACBCREV06,9b96afa1c3ef4d28b9d03070fbc7f610,F4-46-37-D2-3B-BA,Windows 11,LENOVO,2026-03-05T21:00:43Z,Managed,c3ba15b18a0d4320ba991b3d4438455e,SensorGroupingTags/Autocamp_Basecamp,,Windows
